cluster,gene,avg_logFC,p_val,p_val_adj,pct.1,pct.2,celltype,avg_strength
CD4_c5_CTL,ALOX5AP,0.840553504112784,0,0,0.695,0.369,T,0.840553504112784
CD4_c5_CTL,GZMK,0.828327292805122,0,0,0.27,0.106,T,0.828327292805122
CD4_c5_CTL,CXCR6,0.769271747040768,0,0,0.423,0.146,T,0.769271747040768
CD4_c5_CTL,CST7,0.767302043116884,0,0,0.61,0.256,T,0.767302043116884
CD4_c5_CTL,HLA-DRB1,0.757760986354351,0,0,0.551,0.217,T,0.757760986354351
CD4_c5_CTL,HLA-DRB5,0.729144032535947,0,0,0.373,0.124,T,0.729144032535947
CD4_c5_CTL,GLUL,0.718487939910581,0,0,0.368,0.12,T,0.718487939910581
CD4_c5_CTL,RBPJ,0.712580388362408,0,0,0.542,0.269,T,0.712580388362408
CD4_c5_CTL,HLA-DPA1,0.689020769674249,0,0,0.558,0.241,T,0.689020769674249
CD4_c5_CTL,XCL1,0.682279441869628,0,0,0.173,0.021,T,0.682279441869628
CD4_c5_CTL,ATP5F1E,0.673465851068752,0,0,0.589,0.317,T,0.673465851068752
CD4_c5_CTL,HLA-DPB1,0.663019549287935,0,0,0.541,0.236,T,0.663019549287935
CD4_c5_CTL,GNLY,0.652208445674068,0,0,0.161,0.064,T,0.652208445674068
CD4_c5_CTL,APOBEC3G,0.651183570519148,0,0,0.407,0.148,T,0.651183570519148
CD4_c5_CTL,CD99,0.64158972727195,0,0,0.819,0.534,T,0.64158972727195
CD4_c5_CTL,S100A4,0.63181701641547106,0,0,0.903,0.718,T,0.63181701641547106
CD4_c5_CTL,HLA-DRA,0.623258243779369,0,0,0.437,0.181,T,0.623258243779369
CD4_c5_CTL,SH3BGRL3,0.607764612449182,0,0,0.956,0.827,T,0.607764612449182
CD4_c5_CTL,ANXA2,0.5990936861577,0,0,0.577,0.285,T,0.5990936861577
CD4_c5_CTL,CLU,0.598703971575771,0,0,0.233,0.04,T,0.598703971575771
CD4_c5_CTL,S100A6,0.588046484664209,0,0,0.903,0.735,T,0.588046484664209
CD4_c5_CTL,PRF1,0.587273848798366,0,0,0.27,0.093,T,0.587273848798366
CD4_c5_CTL,C12orf75,0.58108611722313,0,0,0.308,0.097,T,0.58108611722313
CD4_c5_CTL,LCP1,0.568853231750519,0,0,0.718,0.467,T,0.568853231750519
CD4_c5_CTL,ITGB2,0.562546564629031,0,0,0.642,0.401,T,0.562546564629031
CD4_c5_CTL,CXCR3,0.558303846135729,0,0,0.382,0.142,T,0.558303846135729
CD4_c5_CTL,ITGB1,0.549885121348936,0,0,0.562,0.324,T,0.549885121348936
CD4_c5_CTL,CYBA,0.548248782490505,0,0,0.825,0.621,T,0.548248782490505
CD4_c5_CTL,AHNAK,0.546483245637309,0,0,0.59,0.368,T,0.546483245637309
CD4_c5_CTL,COTL1,0.544131040336866,0,0,0.709,0.48,T,0.544131040336866
CD4_c5_CTL,CLIC1,0.543446195780717,0,0,0.771,0.527,T,0.543446195780717
CD4_c5_CTL,CD63,0.541628558601313,0,0,0.435,0.211,T,0.541628558601313
CD4_c5_CTL,CD52,0.538641288096727,0,0,0.918,0.804,T,0.538641288096727
CD4_c5_CTL,ID2,0.534538411538521,0,0,0.572,0.321,T,0.534538411538521
CD4_c5_CTL,S100A10,0.530258405293318,0,0,0.838,0.613,T,0.530258405293318
CD4_c5_CTL,CTSW,0.527040751115696,0,0,0.27,0.108,T,0.527040751115696
CD4_c5_CTL,S100A11,0.51629384466648,0,0,0.796,0.53,T,0.51629384466648
CD4_c5_CTL,EMB,0.513774130303115,0,0,0.557,0.306,T,0.513774130303115
CD4_c5_CTL,HMGB2,0.508293370466459,0,0,0.588,0.395,T,0.508293370466459
CD4_c5_CTL,PARP8,0.503979859496479,0,0,0.44,0.212,T,0.503979859496479
CD4_c5_CTL,ATP5MG,0.502892297064902,0,0,0.535,0.288,T,0.502892297064902
CD4_c5_CTL,ANXA1,0.498174625821251,0,0,0.781,0.434,T,0.498174625821251
CD4_c6_Tn_FHIT,FHIT,1.46418856612211,0,0,0.664,0.043,T,1.46418856612211
CD4_c6_Tn_FHIT,ADTRP,1.03961140631328,0,0,0.434,0.067,T,1.03961140631328
CD4_c6_Tn_FHIT,GLTSCR2,0.555302349765217,0,0,0.578,0.415,T,0.555302349765217
CD4_c6_Tn_FHIT,EIF3E,0.532021471228484,0,0,0.795,0.636,T,0.532021471228484
CD4_c6_Tn_FHIT,NOSIP,0.516217330092408,0,0,0.554,0.358,T,0.516217330092408
CD4_c6_Tn_FHIT,SELL,0.503362970605757,0,0,0.594,0.353,T,0.503362970605757
CD4_c6_Tn_FHIT,C6orf48,0.475353352282084,0,0,0.45,0.279,T,0.475353352282084
CD4_c6_Tn_FHIT,DONSON,0.463834279075852,0,0,0.161,0.053,T,0.463834279075852
CD4_c6_Tn_FHIT,TCF7,0.457733204607677,0,0,0.476,0.287,T,0.457733204607677
CD4_c6_Tn_FHIT,LEF1,0.454218998150345,0,0,0.41,0.23,T,0.454218998150345
CD4_c6_Tn_FHIT,CCR7,0.435488452594805,0,0,0.5,0.299,T,0.435488452594805
CD4_c6_Tn_FHIT,AIF1,0.42468731527649,0,0,0.181,0.057,T,0.42468731527649
CD4_c6_Tn_FHIT,GNB2L1,0.406894689920443,6.01448378092212e-196,4.71276905621714e-191,0.546,0.415,T,0.406894689920443
CD4_c6_Tn_FHIT,PLAC8,0.406539149768295,4.79269496897793e-301,3.75541199684204e-296,0.321,0.165,T,0.406539149768295
CD4_c6_Tn_FHIT,EEF1B2,0.397769997146726,0,0,0.944,0.858,T,0.397769997146726
