LASP1,LASP2,LASP3,LASP4,LASP5,LHS1,LHS2,LHS3,BMYO1,BMYO2,FB1,FB2,FB3,FB4,PV1,PV2,PV3,PV4,PV5,VEV,VEC,VEA,VEAT,LE1,LE2,CD4_naive,CD4_Th,CD8_Tem,CD8_Trm,CD8_Tc1,NKT,NK,ILC,B_naive,B_mem_switched,B_mem_unswitched,Plasma_cell,Macro,Macro-lipo,DC
SOX9-AS1,CMTM7,DEFB1,PPP1R1A,CENPE,LRBA,AC021148.2,NTS,ITGA3,TFAP2C,PLTP,SLC7A8,DES,DNAJB9,PEX5,THAP2,CACNB2,FHL5,FUS,TPM3,HOXB3,MMRN2,TM4SF18,NHSL1,POLR2L,TXNIP,DPP4,LMNB1,TRGC1,CXCR6,APMAP,HELZ,P2RY8,BLNK,KLK1,IRF4,ADTRP,EBI3,PDE6G,TNFSF13B
SLC5A6,MARCKSL1,RPL17,RGS2,CDKN3,LIMCH1,LRP2,TAT,SEMA3C,LIMA1,GXYLT2,C17orf58,RNF144A,PTGR1,PMEPA1,AL450384.2,NT5DC2,SEPTIN7,LINC00989,ATP1A1,AC083855.2,PLPP1,ZSCAN31,ARL4A,REEP1,SFMBT1,TRAC,LINC01943,THEMIS,CCL5,MYO1F,GZMM,PIM2,AC120193.1,PIKFYVE,CNR2,TBCEL,IFI30,CCL17,CSF2RA
ROCR,MFSD14C,NACA,CASC8,UBE2T,TMCO3,IL20RA,AQP3,AC245014.3,STAC2,SVEP1,LAMA1,MAOB,COPS8,RASD2,SLC25A4,AC018647.1,DPY19L2,AGTR1,SCARF1,DDX23,RNASE1,NAV1,ACKR2,LINC01985,PIK3IP1,IL18R1,PLCXD2,FXYD7,CCR6,CARD11,CD38,AC017104.1,FCMR,LY86,SEL1L3,EML5,TYROBP,HLA-DQB2,LYZ
AC015712.2,KRT81,AC015712.2,ACTR3B,TYMS,KLHDC7B,ALOX15B,EEF1AKMT3,KCNMB1,NRG1,PLBD1,MMP10,PDGFRL,LAPTM4A,COL25A1,CACNB2,LBH,CNR1,EBF2,CCL14,HBEGF,DEPP1,RASSF2,KBTBD11,PEPD,TTC39C-AS1,HNRNPUL1,AOAH,ZAP70,AC136475.3,EOMES,TNFSF4,TMED8,TMEM156,CD22,LINC01215,MEI1,C5AR1,AMZ1,IFI30
SLC39A8,S100A6,PPP2R5B,HIST2H2BF,AURKA,JPT1,AC127526.5,SUB1,FBXO32,HOMER1,COL1A2,HGF,FAP,DOK5,ZFP91,SLC25A19,AC092164.1,PELI2,LRATD1,RAMP3,RND1,KIAA0355,ZNF366,ADD3-AS1,MYCN,BRD9,CD6,CD8A,TRG-AS1,TNFSF14,JAKMIP1,CNR2,STAP1,LINC01215,EHMT1,FGD2,PIK3CG,LILRB3,LIPA,RAMP1
PGBD5,FGFBP1,GIPC1,MYEOV,MND1,SH3BP4,ESR1,AC008115.3,IRX1,MYLK,SPON2,AP5B1,FLNC,DNER,DENND5A,CHSY1,ADIRF,CCDC102B,ITGA7,LPCAT4,PIK3R3,DKK2,RASIP1,TGFB2,EFEMP1,FYN,PIK3IP1,CEMIP2,TSEN54,CDC42SE2,SORL1,NCBP3,GALC,CD37,GRAMD1C,ZC3H8,FAM30A,LILRB2,OTOA,GCLC
FAH,IFFO2,SLC20A2,RPL34,NDC80,DUSP10,AC093001.1,NUCB2,DFFA,PFKFB2,NEGR1,OAF,NBL1,ABI3BP,CDC37L1,HIPK2,SORT1,ABCC9,ANO3,NOS3,TMEM44-AS1,RPGR,LXN,IRF8,PLSCR4,METTL4,LAX1,ITGA4,BRD9,SEMA4D,TBC1D10C,BIN2,LTB,SLC37A1,CLECL1,HLA-DMB,MT1H,LAIR1,CYB561A3,TSPAN33
KIT,MAP7D1,MRPS24,ROCR,ANLN,ACADSB,DUSP10,PRR13,TUBB2B,MIA,GLT8D2,PDPN,DCLK1,FAM153CP,AHR,ZNF331,NR2F2-AS1,PARM1,NOTCH3,SLC9B2,PCDH17,CCDC85A,NR5A2,CCDC141,SLC16A11,AC133644.2,LTB,DCP1B,CAMK4,C21orf91,IL2RB,LYST,CRADD,SHISA8,NCF4,TNFRSF18,LINC02362,LILRB1,STON1-GTF2A1L,APOBEC3A
NCCRP1,CBX6,RPL18,DNAJA4,ARHGAP11A,DHCR24,PCCA-DT,GLUL,TMEM237,TNS4,F2R,ZDBF2,RARRES2,TLNRD1,PRKG1,GYG1,ISYNA1,CH25H,STEAP4,STARD4,HECW2,SOX17,ZNF71,DTX1,SMYD2,ANKRD12,PBXIP1,CD28,PGK1,ATG16L1,GZMM,GNG2,FES,PRDM2,IGHG4,POU2AF1,FCRL2,LILRB4,TMEM138,IL4I1
TTLL4,SERTAD2,COX4I1,GOLGA8A,RAD51AP1,IBTK,DCDC2,PLAT,USP31,ALDH7A1,SFRP2,HMGA2,BDKRB1,S1PR2,MECP2,RNF152,SORBS2,SDC2,ADCY6,HLA-E,SOCS3,RAMP2,PIR,DHODH,TRDC,AC092338.3,TSC22D3,PASK,PDCD1,OXNAD1,NLRC3,GZMB,FURIN,TNFRSF13B,LINC01215,LPCAT1,SEC11C,HCK,CAPG,PIKFYVE
